50*#
START: 20230802 00:00:00 US/Eastern END: 20230911 00:00:00 US/Eastern
20230911, TimePassed: 32 days, 16:00:00, reqId: 419, Date: 20230809 08:00:00 US/Eastern, O: 4531.25, H: 4532.5, L: 4523.0, C 4524.5
20230911, TimePassed: 32 days, 15:00:00, reqId: 419, Date: 20230809 09:00:00 US/Eastern, O: 4524.5, H: 4525.5, L: 4509.25, C 4512.5
20230911, TimePassed: 32 days, 14:00:00, reqId: 419, Date: 20230809 10:00:00 US/Eastern, O: 4512.25, H: 4517.25, L: 4501.5, C 4502.75
20230911, TimePassed: 32 days, 13:00:00, reqId: 419, Date: 20230809 11:00:00 US/Eastern, O: 4502.75, H: 4506.0, L: 4478.25, C 4482.75
20230911, TimePassed: 32 days, 12:00:00, reqId: 419, Date: 20230809 12:00:00 US/Eastern, O: 4482.5, H: 4495.25, L: 4481.0, C 4491.5
20230911, TimePassed: 32 days, 11:00:00, reqId: 419, Date: 20230809 13:00:00 US/Eastern, O: 4491.25, H: 4507.75, L: 4489.25, C 4504.0
20230911, TimePassed: 32 days, 10:00:00, reqId: 419, Date: 20230809 14:00:00 US/Eastern, O: 4504.25, H: 4518.0, L: 4502.5, C 4511.25
20230911, TimePassed: 32 days, 9:00:00, reqId: 419, Date: 20230809 15:00:00 US/Eastern, O: 4511.25, H: 4511.75, L: 4482.75, C 4486.5
20230911, TimePassed: 32 days, 8:00:00, reqId: 419, Date: 20230809 16:00:00 US/Eastern, O: 4486.5, H: 4493.5, L: 4486.25, C 4493.5
20230911, TimePassed: 32 days, 6:00:00, reqId: 419, Date: 20230809 18:00:00 US/Eastern, O: 4493.5, H: 4496.5, L: 4493.0, C 4495.75
20230911, TimePassed: 32 days, 5:00:00, reqId: 419, Date: 20230809 19:00:00 US/Eastern, O: 4495.75, H: 4498.25, L: 4494.5, C 4497.0
20230911, TimePassed: 32 days, 4:00:00, reqId: 419, Date: 20230809 20:00:00 US/Eastern, O: 4497.0, H: 4500.5, L: 4495.75, C 4500.0
20230911, TimePassed: 32 days, 3:00:00, reqId: 419, Date: 20230809 21:00:00 US/Eastern, O: 4499.75, H: 4500.0, L: 4494.75, C 4496.75
20230911, TimePassed: 32 days, 2:00:00, reqId: 419, Date: 20230809 22:00:00 US/Eastern, O: 4496.5, H: 4502.25, L: 4496.0, C 4501.0
20230911, TimePassed: 32 days, 1:00:00, reqId: 419, Date: 20230809 23:00:00 US/Eastern, O: 4501.25, H: 4503.75, L: 4501.25, C 4502.75
20230911, TimePassed: 32 days, 0:00:00, reqId: 419, Date: 20230810 00:00:00 US/Eastern, O: 4502.75, H: 4504.25, L: 4501.0, C 4501.0
20230911, TimePassed: 31 days, 23:00:00, reqId: 419, Date: 20230810 01:00:00 US/Eastern, O: 4501.0, H: 4503.5, L: 4498.0, C 4503.5
20230911, TimePassed: 31 days, 22:00:00, reqId: 419, Date: 20230810 02:00:00 US/Eastern, O: 4503.5, H: 4506.5, L: 4501.75, C 4501.75
20230911, TimePassed: 31 days, 21:00:00, reqId: 419, Date: 20230810 03:00:00 US/Eastern, O: 4502.0, H: 4516.0, L: 4502.0, C 4512.25
