50*#
START: 20230425 00:00:00 US/Central END: 20230515 00:00:00 US/Central
reqId: 419, Date: 20230508 02:00:00 US/Central, O: 4149.5, H: 4156.75, L: 4148.75, C 4152.25
reqId: 419, Date: 20230508 03:00:00 US/Central, O: 4152.25, H: 4154.0, L: 4150.0, C 4151.0
reqId: 419, Date: 20230508 04:00:00 US/Central, O: 4150.75, H: 4154.5, L: 4150.0, C 4154.25
reqId: 419, Date: 20230508 05:00:00 US/Central, O: 4154.25, H: 4157.5, L: 4153.5, C 4156.0
reqId: 419, Date: 20230508 06:00:00 US/Central, O: 4156.25, H: 4159.5, L: 4155.75, C 4158.25
reqId: 419, Date: 20230508 07:00:00 US/Central, O: 4158.25, H: 4161.0, L: 4154.25, C 4156.25
reqId: 419, Date: 20230508 08:00:00 US/Central, O: 4156.25, H: 4157.0, L: 4143.75, C 4146.75
reqId: 419, Date: 20230508 09:00:00 US/Central, O: 4147.0, H: 4151.25, L: 4141.0, C 4148.5
reqId: 419, Date: 20230508 10:00:00 US/Central, O: 4148.75, H: 4153.5, L: 4143.25, C 4151.5
reqId: 419, Date: 20230508 11:00:00 US/Central, O: 4151.25, H: 4152.75, L: 4144.75, C 4147.5
reqId: 419, Date: 20230508 12:00:00 US/Central, O: 4147.75, H: 4154.25, L: 4145.75, C 4152.5
reqId: 419, Date: 20230508 13:00:00 US/Central, O: 4152.5, H: 4157.5, L: 4137.5, C 4156.25
reqId: 419, Date: 20230508 14:00:00 US/Central, O: 4156.5, H: 4157.0, L: 4149.25, C 4153.25
reqId: 419, Date: 20230508 15:00:00 US/Central, O: 4153.25, H: 4154.25, L: 4150.5, C 4151.5
reqId: 419, Date: 20230508 17:00:00 US/Central, O: 4150.5, H: 4151.5, L: 4149.25, C 4150.25
reqId: 419, Date: 20230508 18:00:00 US/Central, O: 4150.25, H: 4151.5, L: 4149.25, C 4150.25
reqId: 419, Date: 20230508 19:00:00 US/Central, O: 4150.25, H: 4150.75, L: 4148.0, C 4148.25
reqId: 419, Date: 20230508 20:00:00 US/Central, O: 4148.25, H: 4151.75, L: 4147.75, C 4150.75
reqId: 419, Date: 20230508 21:00:00 US/Central, O: 4150.75, H: 4151.75, L: 4149.75, C 4150.75
reqId: 419, Date: 20230508 22:00:00 US/Central, O: 4151.0, H: 4152.0, L: 4149.75, C 4151.5
reqId: 419, Date: 20230508 23:00:00 US/Central, O: 4151.5, H: 4153.25, L: 4151.0, C 4151.5
reqId: 419, Date: 20230509 00:00:00 US/Central, O: 4151.5, H: 4152.75, L: 4150.25, C 4150.75
reqId: 419, Date: 20230509 01:00:00 US/Central, O: 4150.5, H: 4150.75, L: 4146.5, C 4147.25
reqId: 419, Date: 20230509 02:00:00 US/Central, O: 4147.25, H: 4148.0, L: 4143.0, C 4143.75
reqId: 419, Date: 20230509 03:00:00 US/Central, O: 4144.0, H: 4146.25, L: 4135.25, C 4137.75
reqId: 419, Date: 20230509 04:00:00 US/Central, O: 4137.5, H: 4139.75, L: 4134.0, C 4138.25
reqId: 419, Date: 20230509 05:00:00 US/Central, O: 4138.5, H: 4139.5, L: 4135.5, C 4137.5
reqId: 419, Date: 20230509 06:00:00 US/Central, O: 4137.25, H: 4138.5, L: 4133.75, C 4136.75
reqId: 419, Date: 20230509 07:00:00 US/Central, O: 4136.75, H: 4140.5, L: 4135.5, C 4136.25
reqId: 419, Date: 20230509 08:00:00 US/Central, O: 4136.5, H: 4141.25, L: 4131.0, C 4140.75
reqId: 419, Date: 20230509 09:00:00 US/Central, O: 4140.75, H: 4142.75, L: 4132.75, C 4137.75
reqId: 419, Date: 20230509 10:00:00 US/Central, O: 4138.25, H: 4141.75, L: 4134.0, C 4134.75
reqId: 419, Date: 20230509 11:00:00 US/Central, O: 4134.5, H: 4138.5, L: 4132.5, C 4137.75
